,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,,,"I1, M1, T1","I1, M1, T2","I1, M1, T3","I1, M1, T4","I1, M1, T5","I1, M1, T6","I1, M1, T7","I1, M1, T8","I1, M1, T9","I1, M1, T10","I1, M2, T1","I1, M2, T2","I1, M2, T3","I1, M2, T4","I1, M2, T5","I1, M2, T6","I1, M2, T7","I1, M2, T8","I1, M2, T9","I1, M2, T10",,
B,,,"I2, M1, T1","I2, M1, T2","I2, M1, T3","I2, M1, T4","I2, M1, T5","I2, M1, T6","I2, M1, T7","I2, M1, T8","I2, M1, T9","I2, M1, T10","I2, M2, T1","I2, M2, T2","I2, M2, T3","I2, M2, T4","I2, M2, T5","I2, M2, T6","I2, M2, T7","I2, M2, T8","I2, M2, T9","I2, M2, T10",,
C,,,"I3, M1, T1","I3, M1, T2","I3, M1, T3","I3, M1, T4","I3, M1, T5","I3, M1, T6","I3, M1, T7","I3, M1, T8","I3, M1, T9","I3, M1, T10","I3, M2, T1","I3, M2, T2","I3, M2, T3","I3, M2, T4","I3, M2, T5","I3, M2, T6","I3, M2, T7","I3, M2, T8","I3, M2, T9","I3, M2, T10",,
D,,,"I4, M1, T1","I4, M1, T2","I4, M1, T3","I4, M1, T4","I4, M1, T5","I4, M1, T6","I4, M1, T7","I4, M1, T8","I4, M1, T9","I4, M1, T10","I4, M2, T1","I4, M2, T2","I4, M2, T3","I4, M2, T4","I4, M2, T5","I4, M2, T6","I4, M2, T7","I4, M2, T8","I4, M2, T9","I4, M2, T10",,
E,,,"I5, M1, T1","I5, M1, T2","I5, M1, T3","I5, M1, T4","I5, M1, T5","I5, M1, T6","I5, M1, T7","I5, M1, T8","I5, M1, T9","I5, M1, T10","I5, M2, T1","I5, M2, T2","I5, M2, T3","I5, M2, T4","I5, M2, T5","I5, M2, T6","I5, M2, T7","I5, M2, T8","I5, M2, T9","I5, M2, T10",,
F,,,"I6, M1, T1","I6, M1, T2","I6, M1, T3","I6, M1, T4","I6, M1, T5","I6, M1, T6","I6, M1, T7","I6, M1, T8","I6, M1, T9","I6, M1, T10","I6, M2, T1","I6, M2, T2","I6, M2, T3","I6, M2, T4","I6, M2, T5","I6, M2, T6","I6, M2, T7","I6, M2, T8","I6, M2, T9","I6, M2, T10",,
G,,,"I7, M1, T1","I7, M1, T2","I7, M1, T3","I7, M1, T4","I7, M1, T5","I7, M1, T6","I7, M1, T7","I7, M1, T8","I7, M1, T9","I7, M1, T10","I7, M2, T1","I7, M2, T2","I7, M2, T3","I7, M2, T4","I7, M2, T5","I7, M2, T6","I7, M2, T7","I7, M2, T8","I7, M2, T9","I7, M2, T10",,
H,,,"I8, M1, T1","I8, M1, T2","I8, M1, T3","I8, M1, T4","I8, M1, T5","I8, M1, T6","I8, M1, T7","I8, M1, T8","I8, M1, T9","I8, M1, T10","I8, M2, T1","I8, M2, T2","I8, M2, T3","I8, M2, T4","I8, M2, T5","I8, M2, T6","I8, M2, T7","I8, M2, T8","I8, M2, T9","I8, M2, T10",,
I,,,"I9, M1, T1","I9, M1, T2","I9, M1, T3","I9, M1, T4","I9, M1, T5","I9, M1, T6","I9, M1, T7","I9, M1, T8","I9, M1, T9","I9, M1, T10","I9, M2, T1","I9, M2, T2","I9, M2, T3","I9, M2, T4","I9, M2, T5","I9, M2, T6","I9, M2, T7","I9, M2, T8","I9, M2, T9","I9, M2, T10",,
J,,,"I10, M1, T1","I10, M1, T2","I10, M1, T3","I10, M1, T4","I10, M1, T5","I10, M1, T6","I10, M1, T7","I10, M1, T8","I10, M1, T9","I10, M1, T10","I10, M2, T1","I10, M2, T2","I10, M2, T3","I10, M2, T4","I10, M2, T5","I10, M2, T6","I10, M2, T7","I10, M2, T8","I10, M2, T9","I10, M2, T10",,
